    EDF      Z      N                 N-N                 P-P                 N-P
   SKMS     42     92       5.82524837403       2.09493403053      -7.13458866421    
   SKMS     42     94       4.86225830018         2.182858016      -8.67125954381    
   SKMS     44     42                 N/A       6.70550270316                 N/A    
   SKMS     44     44       9.15841074098       3.20865052181      -1.36680829079    
   SKMS     44     46        3.3837941638       2.83294946868      -1.82853297714    
   SKMS     44     48       3.39951624884       2.36201548419      -2.51488497545    
   SKMS     44     50      0.539643783837       2.32206050361      -2.10490200103    
   SKMS     44     52       4.23749013459       2.34128981656      -2.80995369899    
   SKMS     44     54       3.37809591935       2.78164697145      -2.82428233221    
   SKMS     44     56       3.15514146077       3.10399709466      -2.97486904998    
   SKMS     44     58      -16.3895467471       2.45879369123      -1.96921041062    
   SKMS     44     60       5.74119551785       2.46313305598      -5.22444202959    
   SKMS     44     62       4.16841218927       2.47106384241      -3.57453714212    
   SKMS     44     64       5.31907820375       2.72235886951      -2.89993554893    
   SKMS     44     66        6.2152335374       2.64590513107      -2.33287161916    
   SKMS     44     68       5.07516960582       2.38675304326        -2.197909678    
   SKMS     44     70       5.90042733845       2.22188647049      -2.21368722813    
   SKMS     44     72       5.68751377445       2.31336093173      -2.68073875799    
   SKMS     44     74       21.8903403401       3.02963972282      -3.11060857501    
   SKMS     44     76      -8.80078326971       4.33188756586      -2.86020941023    
   SKMS     44     78      -8.54251824895       3.01237937303       -2.3862831671    
   SKMS     44     80       2.98669725045        2.3592904434      -2.80689344962    
   SKMS     44     82      0.762725163619       2.29018603754      -2.75603002143    
   SKMS     44     84       6.41433732679       2.30733866367      -4.64330157315    
   SKMS     44     86       20.0698430539       2.35331078469      -4.68266185913    
   SKMS     44     88       7.41035782765       2.38534112465      -4.66411928019    
   SKMS     44     90       6.06854113788       2.43101242551      -5.31626457986    
   SKMS     44     92       5.41381877242       2.49154276951      -6.77522840989    
   SKMS     44     94       5.39645021505       2.57306540861      -7.43215372667    
   SKMS     44     96      -7.51804801401       5.74951380674      -6.45539243138    
   SKMS     44     98      -24.9599081475                 N/A                 N/A    
   SKMS     44    100       7.33549241327                 N/A                 N/A    
   SKMS     44    102       11.5827879771       2.39514790937                 N/A    
   SKMS     44    104       23.0719093736       2.93296632148      -6.00003300018    
   SKMS     44    106       18.1786782283                 N/A                 N/A    
   SKMS     44    108       14.5553521849                 N/A                 N/A    
   SKMS     46     44       5.78906387943       1.73609980838      -1.75714421893    
   SKMS     46     46       2.11047492017       1.36999954448      -1.97802415167    
   SKMS     46     48       6.50969619248       2.56018023669      -3.05572807687    
   SKMS     46     50      0.509825289246       2.46358664958      -2.13768052044    
   SKMS     46     52        5.7565387084       2.43397833759      -2.78230094897    
   SKMS     46     54       2.90503864428       1.80242128263      -2.37142152492    
   SKMS     46     56        3.7432609605       1.64052288386      -2.67749624649    
   SKMS     46     58       5.87749536413       1.44650394462      -2.36250515321    
   SKMS     46     60       11.7309277111       1.82930482301      -5.20495824322    
   SKMS     46     62       7.20625935688       1.85092895811      -3.55796548418    
   SKMS     46     64       6.57241818982       1.67143233812      -2.61649451223    
   SKMS     46     66       6.06074380478       1.54214548678      -2.39210271211    
   SKMS     46     68       5.25396345868       1.49136703549      -2.41580321833    
   SKMS     46     70       5.01762440573       1.46305618538      -2.37729446061    
   SKMS     46     72       6.99437652128        1.5074850401      -2.55867031021    
   SKMS     46     74       48.7537327076       1.49718024815      -2.36027329604    
   SKMS     46     76       57.8703703705       1.42599546961      -2.22791206208    
   SKMS     46     78      -15.7505118917       1.64897182484      -3.14520301499    
   SKMS     46     80       4.01381152546       2.30888493557      -3.78253452509    
   SKMS     46     82      0.693226724306       2.32832801019      -2.85672455105    
   SKMS     46     84       6.55778556697        2.3698493546      -4.57435615937    
