    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     36     82       4.82545718191                 N/A                 N/A    
    SKP     38     36       2.72934516868       1.86652655274      -1.60832598194    
    SKP     38     38        2.1010786938        1.4639498685      -1.34118507784    
    SKP     38     40        1.6092182458       1.39971921633      -1.67768275103    
    SKP     38     42       2.40216867788       1.36168126786      -1.80937836997    
    SKP     38     44       3.96116866359       1.31373503409      -1.82446045003    
    SKP     38     46       4.40876285706       1.35281522539       -1.9933770049    
    SKP     38     48       2.03248108014       1.22879333109      -1.74671573773    
    SKP     38     50       1.39834470945       1.22005601277       -1.9671321721    
    SKP     38     52       2.32903839245       1.32206100056      -2.71333236558    
    SKP     38     54       3.44847504123       1.39786092332      -2.62355982963    
    SKP     38     56       2.58969740681        1.3318181682      -2.19521257067    
    SKP     38     58       2.94867173396       1.33482032317      -2.42667498207    
    SKP     38     60       9.16638594609       1.56470525647      -3.12436048246    
    SKP     38     62       5.47298942892       1.41743846191      -2.41058826791    
    SKP     38     64        5.3181588534       1.34494242806      -2.35259659026    
    SKP     38     66       5.41104312737        1.3807734886      -2.37264951992    
    SKP     38     68       15.8308630591       1.55212501436      -2.44807330511    
    SKP     38     70       6.70803286936       1.34355645439      -2.00459352607    
    SKP     38     72       6.86962988152       1.17885777523       -2.0227222504    
    SKP     38     74       7.61392815878       1.08244086084      -2.18858728332    
    SKP     38     76       8.28323700619       1.07333853903      -2.62943561137    
    SKP     38     78       7.18517267766       1.04003484117      -2.42692086236    
    SKP     38     80       3.27517442351      0.949956753219      -2.26005172128    
    SKP     38     82       3.00874039084      0.952634534621        -2.878648417    
    SKP     38     84       4.50892202947       1.02829798945      -4.49934646993    
    SKP     38     86       11.8925861618                 N/A                 N/A    
    SKP     40     38        1.9626642382        1.1099499801      -1.67145748167    
    SKP     40     40       1.53041918564       1.08941659018      -1.77080552615    
    SKP     40     42       2.33806421143       1.08020436386      -1.87716313721    
    SKP     40     44       3.99831670867        1.0615246413      -1.91826282119    
    SKP     40     46       3.95920827712       1.02657889759      -1.90967066774    
    SKP     40     48       2.05179131641       1.03669270148      -2.00845257265    
    SKP     40     50        1.2724795441       1.01298725637      -1.98994579885    
    SKP     40     52       2.27803665133       1.00514761221      -2.31593927839    
