     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-P     32     34       -1.6619985283      -1.25506851576      -1.78524964262      -1.64144787192      -1.30186127106      -1.35006605198    
             N-P     32     36      -1.69132691785      -1.68571311776      -1.94434601193      -1.65448620138      -1.85181927355      -1.64219994031    
             N-P     32     38      -1.71880075833      -1.64102429454       -1.6357951232      -1.67911379732       -1.8478550099      -2.02844488259    
             N-P     32     40      -1.77625099137      -2.03618815397      -1.78247161971      -1.64987098009      -2.19496201344      -1.69093224899    
             N-P     32     42       -1.7659381436      -1.62749026354      -1.81973355461      -1.76954428484      -1.70444352689      -1.72158153087    
             N-P     32     44      -1.78672729628      -1.32420251559      -2.00148510195      -1.54643878345      -1.30596935739      -1.38575458148    
             N-P     32     46      -1.50623222411      -1.65787646748      -1.87412794484      -1.73352211389      -1.67650355125      -1.67852404024    
             N-P     32     48      -1.93296197912      -1.74666158388      -1.84231785694      -1.93684622361       -1.8101996605        -1.877256521    
             N-P     32     50      -2.10610005555       -2.1323461992      -3.65683526506      -2.06424444783       -2.7627323976      -2.41313032472    
             N-P     32     52      -2.08526763628      -2.09752329693      -1.68898519858      -2.05860011075      -1.67323061092      -1.91856276626    
             N-P     32     54      -2.45139646864       -2.2408335901       -2.3009372868      -2.20408019325      -1.86358206563      -2.13315016684    
             N-P     32     56      -2.66797397391       -2.9833224815      -4.51461663569      -2.91832555235      -1.84420778136      -2.88411135842    
             N-P     32     58      -2.88797821309      -4.45356435456      -2.77785108218      -2.92680499723      -2.32643893156      -3.11643467408    
             N-P     32     60      -3.60854177925      -2.43334756842      -2.34151047328      -2.18290447446      -1.90067996826      -1.99049637506    
             N-P     32     62       -3.1696449443      -2.08137445644      -1.64729380515      -1.96157952268      -2.29337415539      -2.03579124589    
             N-P     32     64      -2.72846829247      -2.44730044406      -2.68180995354      -2.02067555225       -2.1029985605      -2.50863440605    
