EDF       Z     N      beta_2     beta_3  
  SLY4    48    84   0.000114   0.000000  
  SLY4    48    86   0.000158   0.000000  
  SLY4    48    88   -0.000225   -0.000000  
  SLY4    48    90   0.000331   0.000000  
  SLY4    48    92   -0.000560   -0.000000  
  SLY4    48    94   0.084303   0.000000  
  SLY4    48    96   0.115515   0.000000  
  SLY4    48    98   0.139152   0.000000  
  SLY4    48   100   0.203670   0.000000  
  SLY4    48   102   0.215612   0.000000  
  SLY4    48   104   0.212236   0.000000  
  SLY4    48   106   0.196723   0.000000  
  SLY4    48   108   0.169547   0.000000  
  SLY4    48   110   0.122663   0.000000  
  SLY4    50    52   0.000200   0.000000  
  SLY4    50    54   0.000378   0.000000  
  SLY4    50    56   -0.000868   -0.000000  
  SLY4    50    58   0.000000   0.000000  
  SLY4    50    60   0.000000   0.000000  
  SLY4    50    62   -0.061792   -0.000000  
  SLY4    50    64   0.000000   0.000000  
  SLY4    50    66   -0.000000   0.000000  
  SLY4    50    68   -0.000700   -0.000000  
  SLY4    50    70   0.000377   0.000000  
  SLY4    50    72   0.000252   0.000000  
  SLY4    50    74   -0.000194   0.000000  
  SLY4    50    76   -0.000154   -0.000000  
  SLY4    50    78   -0.000124   -0.000000  
  SLY4    50    80   0.000097   0.000000  
  SLY4    50    82   0.000089   0.000000  
  SLY4    50    84   0.000107   0.000000  
  SLY4    50    86   -0.000153   -0.000000  
  SLY4    50    88   0.000217   -0.000000  
  SLY4    50    90   -0.000335   -0.000000  
  SLY4    50    92   -0.000000   0.000000  
  SLY4    50    94   -0.009457   -0.000000  
  SLY4    50    96   0.137722   0.000000  
  SLY4    50    98   0.210018   0.001922  
  SLY4    50   100   0.232266   0.000000  
  SLY4    50   102   0.239339   0.000000  
  SLY4    50   104   0.235893   0.000000  
  SLY4    50   106   0.223856   0.000000  
  SLY4    50   108   0.203359   0.000000  
  SLY4    50   110   -0.103054   0.000000  
  SLY4    50   112   0.020799   -0.000000  
  SLY4    50   114   -0.000000   0.000000  
  SLY4    50   116   0.000407   0.000000  
  SLY4    50   118   -0.000260   -0.000000  
  SLY4    50   120   -0.000184   0.000000  
  SLY4    50   122   -0.000133   -0.000000  
  SLY4    50   124   0.000106   0.000000  
  SLY4    52    56   0.129156   0.000000  
  SLY4    52    58   0.152828   0.000000  
  SLY4    52    60   0.163153   0.000000  
  SLY4    52    62   0.161762   -0.000000  
  SLY4    52    64   -0.132855   0.000000  
  SLY4    52    66   -0.125082   0.000000  
  SLY4    52    68   -0.106596   -0.000000  
  SLY4    52    70   -0.075097   0.000000  
  SLY4    52    72   0.000571   0.000000  
  SLY4    52    74   0.000344   0.000000  
  SLY4    52    76   0.000239   0.000000  
  SLY4    52    78   -0.000175   0.000000  
  SLY4    52    80   0.000127   0.000000  
  SLY4    52    82   0.000113   -0.000000  
  SLY4    52    84   0.000141   0.000007  
  SLY4    52    86   0.000226   0.000001  
  SLY4    52    88   -0.000412   -0.000000  
  SLY4    52    90   0.104590   0.000000  
  SLY4    52    92   0.143593   0.000000  
  SLY4    52    94   0.177030   -0.000000  
  SLY4    52    96   0.209723   0.000000  
  SLY4    52    98   0.234994   0.000000  
  SLY4    52   100   0.249278   0.000000  
  SLY4    52   102   0.254245   0.000000  
  SLY4    52   104   0.251315   0.000000  
  SLY4    52   106   0.241649   0.000000  
  SLY4    52   108   0.225129   0.000000  
  SLY4    52   110   0.201950   0.000000  
  SLY4    52   112   -0.121806   0.000000  
  SLY4    52   114   -0.096455   0.000000  
  SLY4    52   116   -0.059709   0.000000  
  SLY4    52   118   -0.013737   -0.000000  
  SLY4    52   120   0.000500   0.000000  
  SLY4    52   122   -0.000165   -0.000000  
  SLY4    52   124   0.000121   0.000000  
  SLY4    52   126   0.000108   0.000000  
  SLY4    54    58   0.202185   0.000000  
  SLY4    54    60   0.221775   0.000000  
  SLY4    54    62   0.245797   -0.000000  
  SLY4    54    64   0.257760   0.000000  
  SLY4    54    66   0.253346   0.000706  
  SLY4    54    68   0.232585   0.000000  
  SLY4    54    70   0.188909   0.000000  
  SLY4    54    72   -0.114258   0.000000  
  SLY4    54    74   0.078726   -0.000000  
  SLY4    54    76   -0.023581   0.000000  
  SLY4    54    78   0.008741   0.000000  
  SLY4    54    80   0.000181   0.000000  
  SLY4    54    82   0.000151   0.000000  
  SLY4    54    84   0.000210   0.000002  
  SLY4    54    86   0.050192   -0.000000  
  SLY4    54    88   0.124058   0.015552  
  SLY4    54    90   0.159644   0.026456  
  SLY4    54    92   0.185508   0.020917  
  SLY4    54    94   0.209913   0.000000  
  SLY4    54    96   0.233723   0.016841  
  SLY4    54    98   0.252230   0.000000  
  SLY4    54   100   0.263252   -0.000000  
  SLY4    54   102   0.266796   0.000000  
  SLY4    54   104   0.263428   0.000000  
  SLY4    54   106   0.254015   0.000000  
  SLY4    54   108   0.239383   0.000000  
  SLY4    54   110   0.219926   0.000000  
  SLY4    54   112   0.193849   0.000000  
  SLY4    54   114   0.157826   0.000000  
  SLY4    54   116   -0.103508   -0.000000  
  SLY4    54   118   -0.065102   0.000000  
  SLY4    54   120   -0.000000   0.000000  
  SLY4    54   122   -0.000232   0.000000  
  SLY4    54   124   -0.000143   0.000000  
  SLY4    54   126   0.000121   0.000000  
  SLY4    56    60   0.268794   0.000000  
  SLY4    56    62   0.296221   0.000000  
  SLY4    56    64   0.299464   0.000000  
  SLY4    56    66   0.289355   0.000849  
  SLY4    56    68   0.269998   0.000692  
  SLY4    56    70   0.237304   -0.000000  
  SLY4    56    72   0.193199   0.000000  
  SLY4    56    74   0.144327   0.000000  
  SLY4    56    76   0.090141   -0.000000  
  SLY4    56    78   0.034423   -0.000000  
  SLY4    56    80   0.000240   0.000000  
  SLY4    56    82   0.000189   0.000002  
  SLY4    56    84   0.000288   0.000000  
  SLY4    56    86   0.095940   0.011581  
  SLY4    56    88   0.153163   0.041041  
  SLY4    56    90   0.185396   0.058765  
  SLY4    56    92   0.210398   0.057282  
  SLY4    56    94   0.234857   0.032214  
  SLY4    56    96   0.257704   0.000000  
  SLY4    56    98   0.272649   0.000003  
  SLY4    56   100   0.280278   0.000000  
  SLY4    56   102   0.281719   0.000000  
  SLY4    56   104   0.276972   0.000000  
  SLY4    56   106   0.266297   0.000000  
  SLY4    56   108   0.251044   0.000000  
  SLY4    56   110   0.232619   0.000000  
  SLY4    56   112   0.210442   -0.000000  
  SLY4    56   114   0.181852   0.000000  
  SLY4    56   116   0.144860   0.000000  
  SLY4    56   118   0.099290   0.000000  
  SLY4    56   120   -0.043052   -0.000000  
  SLY4    56   122   -0.000304   -0.000000  
  SLY4    56   124   0.000160   0.000000  
  SLY4    56   126   0.000126   0.000000  
  SLY4    58    60   0.325388   -0.000000  
  SLY4    58    62   0.341131   -0.000000  
  SLY4    58    64   0.337940   0.000000  
  SLY4    58    66   0.324779   -0.000000  
  SLY4    58    68   0.304459   0.000000  
  SLY4    58    70   0.274595   0.000000  
  SLY4    58    72   0.230540   -0.000000  
  SLY4    58    74   0.179241   -0.000000  
  SLY4    58    76   0.124487   -0.000000  
  SLY4    58    78   0.072233   -0.000000  
  SLY4    58    80   -0.001601   -0.000000  
  SLY4    58    82   0.000221   0.000000  
  SLY4    58    84   0.002942   0.000020  
  SLY4    58    86   0.111331   0.021722  
  SLY4    58    88   0.167785   0.059267  
  SLY4    58    90   0.201777   0.070974  
  SLY4    58    92   0.231706   0.063606  
  SLY4    58    94   0.264788   0.000000  
  SLY4    58    96   0.284455   -0.000000  
  SLY4    58    98   0.294796   0.000000  
  SLY4    58   100   0.299340   0.000000  
  SLY4    58   102   0.298977   -0.000000  
  SLY4    58   104   0.293343   0.000000  
  SLY4    58   106   0.281182   0.000000  
  SLY4    58   108   0.263189   -0.000000  
  SLY4    58   110   0.243471   0.000000  
  SLY4    58   112   0.222812   0.000000  
  SLY4    58   114   0.197185   0.000000  
  SLY4    58   116   0.162353   -0.000000  
  SLY4    58   118   0.119217   0.000000  
  SLY4    58   120   0.065604   0.000000  
  SLY4    58   122   0.000366   -0.000000  
  SLY4    58   124   0.000170   0.000000  
  SLY4    58   126   0.000124   -0.000000  
  SLY4    60    64   0.359395   -0.000000  
  SLY4    60    66   0.348231   0.000000  
  SLY4    60    68   0.333731   0.000000  
  SLY4    60    70   0.315252   -0.000000  
  SLY4    60    72   0.267589   0.000000  
  SLY4    60    74   0.208377   0.000178  
  SLY4    60    76   0.141581   0.000000  
  SLY4    60    78   0.088828   -0.000000  
  SLY4    60    80   0.000337   -0.000000  
  SLY4    60    82   -0.000234   0.000000  
  SLY4    60    84   0.000419   -0.000000  
  SLY4    60    86   0.112578   0.021442  
  SLY4    60    88   0.175029   0.061719  
  SLY4    60    90   0.216067   0.063848  
  SLY4    60    92   0.261680   -0.000000  
  SLY4    60    94   0.290375   0.000001  
  SLY4    60    96   0.304620   0.000001  
  SLY4    60    98   0.311554   0.000001  
  SLY4    60   100   0.314307   0.000001  
  SLY4    60   102   0.313587   0.002354  
  SLY4    60   104   0.308827   0.002009  
  SLY4    60   106   0.298899   0.003113  
  SLY4    60   108   0.276018   0.000000  
  SLY4    60   110   0.254656   -0.000000  
  SLY4    60   112   0.233851   0.000000  
  SLY4    60   114   0.209861   0.000000  
  SLY4    60   116   0.176777   0.000000  
  SLY4    60   118   -0.125921   -0.000000  
  SLY4    60   120   -0.079648   -0.000000  
  SLY4    60   122   0.000403   -0.000000  
  SLY4    60   124   0.000170   0.000000  
  SLY4    60   126   0.000125   0.000000  
  SLY4    62    68   0.345453   0.000532  
  SLY4    62    70   0.334666   0.000602  
  SLY4    62    72   0.319782   0.000777  
  SLY4    62    74   0.225233   0.000000  
  SLY4    62    76   -0.147600   -0.000000  
