EDF       Z     N      beta_2     beta_3  
UNEDF2    44    58   0.144186   0.000000  
UNEDF2    44    60   0.286327   0.000000  
UNEDF2    44    62   0.308623   0.000000  
UNEDF2    44    64   0.309303   0.000000  
UNEDF2    44    66   0.265197   0.000000  
UNEDF2    44    68   0.259490   0.000000  
UNEDF2    44    70   0.250101   0.000000  
UNEDF2    44    72   0.225363   0.000000  
UNEDF2    44    74   0.182679   0.000000  
UNEDF2    44    76   0.103828   0.000000  
UNEDF2    44    78   0.081810   0.000000  
UNEDF2    44    80   0.029493   0.000000  
UNEDF2    44    82   0.002683   0.000000  
UNEDF2    44    84   0.052784   0.000000  
UNEDF2    44    86   0.071996   0.000000  
UNEDF2    44    88   0.076080   0.000000  
UNEDF2    44    90   -0.059740   0.000000  
UNEDF2    44    92   0.000000   0.000000  
UNEDF2    44    94   0.000184   0.000000  
UNEDF2    44    96   0.000542   0.000000  
UNEDF2    46    42   0.089133   0.000000  
UNEDF2    46    44   0.133656   0.000030  
UNEDF2    46    46   0.119664   0.000000  
UNEDF2    46    48   0.089587   0.000000  
UNEDF2    46    50   0.000000   0.000000  
UNEDF2    46    52   0.092350   0.000000  
UNEDF2    46    54   0.132196   0.000000  
UNEDF2    46    56   0.171039   0.000000  
UNEDF2    46    58   0.168904   0.000000  
UNEDF2    46    60   0.167668   0.000000  
UNEDF2    46    62   0.219465   0.000000  
UNEDF2    46    64   0.234180   0.000000  
UNEDF2    46    66   0.234363   0.000000  
UNEDF2    46    68   0.232295   0.000000  
UNEDF2    46    70   0.222022   0.000000  
UNEDF2    46    72   0.202682   0.000000  
UNEDF2    46    74   0.169457   -0.000000  
UNEDF2    46    76   0.114287   0.000000  
UNEDF2    46    78   0.089224   0.000000  
UNEDF2    46    80   0.045056   -0.000000  
UNEDF2    46    82   -0.000418   0.000000  
UNEDF2    46    84   0.068211   0.000000  
UNEDF2    46    86   0.085210   0.000000  
UNEDF2    46    88   0.075998   0.000000  
UNEDF2    46    90   0.052434   0.000000  
UNEDF2    46    92   0.000000   0.000000  
UNEDF2    46    94   0.000609   -0.000000  
UNEDF2    46    96   0.000000   -0.000000  
UNEDF2    46    98   0.095323   0.000000  
UNEDF2    46   100   0.145891   0.000000  
UNEDF2    46   102   0.162771   0.000000  
UNEDF2    46   104   0.176105   0.000000  
UNEDF2    46   106   0.189590   0.000000  
UNEDF2    46   108   0.198011   0.000000  
UNEDF2    48    46   0.091404   0.000000  
UNEDF2    48    48   0.063313   0.002011  
UNEDF2    48    50   0.000000   -0.000000  
UNEDF2    48    52   0.056621   0.000000  
UNEDF2    48    54   0.053524   -0.000000  
UNEDF2    48    56   0.146900   0.000004  
UNEDF2    48    58   0.146358   -0.000000  
UNEDF2    48    60   0.140280   0.000000  
UNEDF2    48    62   0.140566   0.000000  
UNEDF2    48    64   0.165963   0.000000  
UNEDF2    48    66   0.226794   0.000000  
UNEDF2    48    68   0.223674   0.000000  
UNEDF2    48    70   0.209573   -0.000000  
UNEDF2    48    72   0.182505   0.000000  
UNEDF2    48    74   0.130847   0.000000  
UNEDF2    48    76   0.092039   0.000000  
UNEDF2    48    78   0.070428   0.000000  
UNEDF2    48    80   0.000000   0.000000  
UNEDF2    48    82   -0.000117   -0.000000  
UNEDF2    48    84   0.041531   0.000000  
UNEDF2    48    86   0.063292   0.000000  
UNEDF2    48    88   0.050486   0.000000  
UNEDF2    48    90   0.000000   0.000000  
UNEDF2    48    92   0.000431   0.000000  
UNEDF2    48    94   0.000342   0.000000  
UNEDF2    48    96   -0.000000   0.000000  
UNEDF2    48    98   0.067085   0.000000  
UNEDF2    48   100   0.272674   0.000000  
UNEDF2    48   102   0.255087   0.000000  
UNEDF2    48   104   0.223039   0.000000  
UNEDF2    48   106   0.221583   0.000000  
UNEDF2    48   108   0.224973   0.000000  
UNEDF2    48   110   0.233158   0.000001  
UNEDF2    48   112   0.233213   0.000001  
UNEDF2    48   114   0.158411   0.000000  
UNEDF2    48   116   0.135048   0.000000  
UNEDF2    50    48   0.000000   0.000000  
UNEDF2    50    50   -0.000133   0.000000  
UNEDF2    50    52   -0.000000   0.000000  
UNEDF2    50    54   0.001450   -0.000000  
UNEDF2    50    56   -0.000000   0.000000  
UNEDF2    50    58   -0.000000   0.000000  
UNEDF2    50    60   0.081510   -0.000000  
UNEDF2    50    62   0.078064   -0.000000  
UNEDF2    50    64   -0.000000   0.000000  
UNEDF2    50    66   0.000000   0.000000  
UNEDF2    50    68   0.000000   0.000000  
UNEDF2    50    70   0.000000   0.000000  
UNEDF2    50    72   -0.053169   0.000000  
UNEDF2    50    74   0.031419   0.000000  
UNEDF2    50    76   0.000000   0.000000  
UNEDF2    50    78   0.000000   0.000000  
UNEDF2    50    80   0.000000   0.000000  
UNEDF2    50    82   0.001172   0.000000  
UNEDF2    50    84   -0.000000   0.000000  
UNEDF2    50    86   0.000000   0.000000  
UNEDF2    50    88   0.000793   -0.000000  
UNEDF2    50    90   0.000324   0.000000  
UNEDF2    50    92   0.000170   0.000000  
UNEDF2    50    94   0.000174   0.000000  
UNEDF2    50    96   -0.000000   0.000000  
UNEDF2    50    98   -0.000000   0.000000  
UNEDF2    50   100   0.271795   0.000000  
UNEDF2    50   102   0.271463   0.000000  
UNEDF2    50   104   0.254069   0.000000  
UNEDF2    50   106   0.239071   0.000000  
UNEDF2    50   108   0.231716   0.000000  
UNEDF2    50   110   0.231679   0.000000  
UNEDF2    50   112   0.232909   0.000000  
