  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
108    194         1         1         1         1         0         1         5
108    196         1         1         1         0         0         1         4
108    198         0         1         1         0         0         1         3
108    200         0         1         1         0         0         1         3
108    202         0         1         1         0         0         0         2
108    204         0         1         1         0         0         0         2
108    206         0         1         0         0         0         0         1
108    218         0         1         0         0         0         0         1
108    220         0         1         0         0         0         0         1
108    222         0         1         0         0         0         0         1
108    224         0         1         0         0         0         0         1
108    226         0         1         0         0         0         0         1
108    228         0         1         0         0         0         0         1
108    232         0         1         0         0         0         0         1
108    234         0         1         0         0         0         0         1
108    238         0         1         0         0         0         0         1
108    244         0         1         0         0         0         0         1
108    246         0         1         0         0         0         0         1
108    248         0         1         0         0         0         0         1
108    250         0         1         0         0         0         0         1
108    252         0         0         1         0         0         0         1
108    258         0         0         0         1         0         1         2
108    260         0         0         0         1         0         0         1
108    262         0         0         0         1         0         0         1
108    264         0         0         0         1         0         0         1
108    266         0         0         0         1         0         0         1
110    186         0         1         1         1         0         1         4
110    188         0         1         1         1         1         1         5
110    190         1         1         1         1         1         1         6
110    192         1         1         1         1         1         1         6
110    194         1         1         1         1         1         1         6
110    196         1         1         1         0         0         1         4
110    198         0         1         1         0         0         1         3
110    200         0         1         1         0         0         0         2
110    202         0         1         1         0         0         0         2
110    204         0         0         1         0         0         0         1
110    216         0         1         0         0         0         0         1
110    228         0         1         0         0         0         0         1
110    236         0         1         0         0         0         0         1
110    258         0         0         0         1         0         0         1
110    260         0         0         0         1         0         0         1
110    262         0         0         0         1         0         0         1
110    264         0         0         0         1         0         0         1
110    266         0         0         0         1         0         0         1
110    268         0         0         0         1         0         0         1
110    270         0         0         0         1         0         0         1
110    272         0         0         0         1         0         0         1
110    274         0         0         0         1         0         0         1
112    186         0         0         1         0         0         0         1
112    188         0         1         1         1         1         1         5
112    190         0         1         1         1         1         1         5
112    192         1         1         1         1         1         1         6
112    194         1         1         1         1         1         1         6
112    196         1         1         1         1         1         1         6
112    198         0         1         1         1         0         1         4
112    200         0         1         1         0         0         0         2
112    202         0         0         1         0         0         0         1
112    204         0         0         1         0         0         0         1
112    260         0         0         0         1         0         0         1
112    262         0         0         0         1         0         0         1
112    264         0         0         0         1         0         0         1
112    266         0         0         0         1         0         0         1
112    268         0         0         0         1         0         0         1
112    270         0         0         0         1         0         0         1
112    272         0         0         0         1         0         0         1
112    274         0         0         0         1         0         0         1
112    276         0         0         0         1         0         0         1
112    278         0         0         0         1         0         0         1
114    188         0         1         1         1         0         0         3
114    190         0         1         1         1         0         1         4
114    192         1         1         1         1         1         1         6
114    194         1         1         1         1         1         1         6
114    196         1         1         1         1         1         1         6
114    198         1         1         1         1         1         1         6
114    200         0         1         1         1         0         1         4
114    202         0         1         1         1         0         0         3
114    204         0         0         1         0         0         0         1
114    206         0         0         1         0         0         0         1
114    262         0         0         0         1         0         0         1
114    264         0         0         0         1         0         0         1
